subdistrict_id,subdistrict_name,district_id_id
314,Yamkeshwar,52
315,Munsiari,53
316,Dharchula,53
317,Didihat,53
318,Berinag,53
319,Gangolihat,53
320,Pithoragarh,53
321,Kapkot,46
322,Kanda,46
323,Bageshwar,46
324,Garud,46
325,Bhikiasain,45
326,Chaukhutiya,45
327,Sult,45
328,Ranikhet,45
329,Dwarahat,45
330,Almora,45
331,Someshwar,45
332,Jainti,45
333,Bhanoli,45
334,Champawat,48
335,Pati,48
336,Lohaghat,48
337,Poornagiri,48
338,Kosya Kutauli,51
339,Betalghat,51
340,Nainital,51
341,Dhari,51
342,Haldwani,51
343,Ramnagar,51
344,Kaladhungi,51
345,Lalkuan,51
346,Kashipur,56
347,Jaspur,56
348,Bajpur,56
349,Kichha,56
350,Gadarpur,56
351,Sitarganj,56
352,Khatima,56
353,Roorkee,50
354,Hardwar,50
355,Laksar,50
356,Kalka,70
357,Panchkula,70
358,Naraingarh,58
359,Ambala,58
360,Barara,58
361,Jagadhri,76
362,Bilaspur,76
363,Chhachhrauli,76
364,Shahbad,68
365,Pehowa,68
366,Thanesar,68
367,Guhla,66
368,Kaithal,66
369,Fatehpur Pundri,66
370,Nilokheri,67
371,Indri,67
372,Karnal,67
373,Assandh,67
374,Gharaunda,67
375,Panipat,71
376,Israna,71
377,Samalkha,71
378,Gohana,75
379,Ganaur,75
380,Sonipat,75
381,Kharkhoda,75
382,Narwana,65
383,Jind,65
384,Julana,65
385,Safidon,65
386,Ratia,61
387,Tohana,61
388,Fatehabad,61
389,Dabwali,74
390,Sirsa,74
391,Rania,74
392,Ellenabad,74
393,Adampur,63
394,Hisar,63
395,Narnaund,63
396,Hansi,63
397,Bawani Khera,59
398,Bhiwani,59
399,Tosham,59
400,Siwani,59
401,Loharu,59
402,Dadri,701
403,Badhra,701
404,Maham,73
405,Rohtak,73
406,Sampla,73
407,Beri,64
408,Bahadurgarh,64
409,Jhajjar,64
410,Matenhail,64
411,Mahendragarh,69
412,Narnaul,69
413,Kosli,72
414,Rewari,72
415,Bawal,72
416,Pataudi,62
417,Gurgaon,62
418,Farrukhnagar,62
419,Manesar,62
420,Sohna,62
421,Taoru,604
422,Nuh,604
423,Ferozepur Jhirka,604
424,Punahana,604
425,Faridabad,60
426,Ballabgarh,60
427,Palwal,619
428,Hathin,619
429,Hodal,619
430,Narela,80
431,Saraswati Vihar,82
432,Model Town,80
433,Civil Lines,77
434,Sadar Bazar,77
435,Kotwali,77
436,Seelam Pur,81
437,Shahdara,671
438,Seema Puri,671
439,Gandhi Nagar,78
440,Vivek Vihar,671
441,Preet Vihar,78
443,Chanakya Puri,79
445,Darya Ganj,77
446,Pahar Ganj,77
447,Karol Bagh,77
448,Patel Nagar,85
449,Rajouri Garden,85
450,Punjabi Bagh,85
451,Najafgarh,84
452,Delhi Cantonment,79
453,Vasant Vihar,79
454,Hauz Khas,83
455,Defence Colony,670
456,Kalkaji,670
457,Karanpur,100
458,Ganganagar,100
459,Sadulshahar,100
460,Padampur,100
461,Raisinghnagar,100
462,Anupgarh,100
463,Gharsana,100
464,Vijainagar,100
465,Suratgarh,100
466,Sangaria,101
467,Tibi,101
468,Hanumangarh,101
469,Pilibanga,101
470,Rawatsar,101
471,Nohar,101
472,Bhadra,101
473,Bikaner,93
474,Poogal,93
475,Lunkaransar,93
476,Kolayat,93
477,Nokha,93
478,Khajuwala,93
479,Chhatargarh,93
480,Sridungargarh,93
481,Taranagar,96
482,Rajgarh,96
483,Sardarshahar,96
484,Churu,96
485,Ratangarh,96
486,Sujangarh,96
487,Jhunjhunun,106
488,Chirawa,106
489,Buhana,106
490,Khetri,106
491,Nawalgarh,106
492,Udaipurwati,106
493,Behror,87
494,Mandawar,87
495,Kotkasim,87
496,Tijara,87
497,Kishangarh Bas,87
498,Ramgarh,87
499,Alwar,87
500,Bansur,87
501,Thanagazi,87
502,Rajgarh,87
503,Lachhmangarh,87
504,Kathumar,87
505,Pahari,91
506,Kaman,91
507,Nagar,91
508,Deeg,91
509,Nadbai,91
510,Kumher,91
511,Bharatpur,91
512,Weir,91
513,Bayana,91
514,Rupbas,91
515,Baseri,98
516,Bari,98
517,Sepau,98
518,Dhaulpur,98
519,Rajakhera,98
520,Todabhim,108
521,Nadoti,108
522,Hindaun,108
523,Karauli,108
524,Mandrayal,108
525,Sapotra,108
526,Gangapur,113
527,Bamanwas,113
528,Malarna Doongar,113
529,Bonli,113
530,Chauth Ka Barwara,113
531,Sawai Madhopur,113
532,Khandar,113
533,Baswa,97
534,Mahwa,97
535,Sikrai,97
536,Dausa,97
537,Lalsot,97
538,Kotputli,102
539,Viratnagar,102
540,Shahpura,102
541,Chomu,102
542,Phulera (Hq.Sambhar),102
543,Mauzamabad,102
544,Phagi,102
545,Sanganer,102
546,Jaipur,102
547,Amber,102
548,Jamwa Ramgarh,102
549,Bassi,102
550,Chaksu,102
551,Fatehpur,114
552,Lachhmangarh,114
553,Sikar,114
554,Danta Ramgarh,114
555,Sri Madhopur,114
556,Neem-Ka-Thana,114
557,Ladnu,110
558,Didwana,110
559,Jayal,110
560,Nagaur,110
561,Kheenvsar,110
562,Merta,110
563,Degana,110
564,Parbatsar,110
565,Makrana,110
566,Nawa,110
567,Phalodi,107
568,Osian,107
569,Bhopalgarh,107
570,Jodhpur,107
571,Shergarh,107
572,Luni,107
573,Bilara,107
574,Jaisalmer,103
575,Pokaran,103
576,Fatehgarh,103
577,Sheo,90
578,Baytoo,90
579,Pachpadra,90
580,Siwana,90
581,Gudha Malani,90
582,Barmer,90
583,Ramsar,90
584,Chohtan,90
585,Sayla,104
586,Ahore,104
587,Jalor,104
588,Bhinmal,104
589,Bagora,104
590,Sanchore,104
591,Raniwara,104
592,Sheoganj,115
593,Sirohi,115
594,Pindwara,115
595,Abu Road,115
596,Reodar,115
597,Jaitaran,111
598,Raipur,111
599,Sojat,111
600,Rohat,111
601,Pali,111
602,Marwar Junction,111
603,Desuri,111
604,Sumerpur,111
605,Bali,111
606,Kishangarh,86
607,Ajmer,86
608,Peesangan,86
609,Beawar,86
610,Masuda,86
611,Nasirabad,86
612,Bhinay,86
613,Sarwar,86
614,Kekri,86
615,Malpura,116
616,Peeplu,116
617,Niwai,116
618,Tonk,116
619,Todaraisingh,116
620,Deoli,116
621,Uniara,116
622,Hindoli,94
623,Nainwa,94
624,Indragarh,94
625,Keshoraipatan,94
626,Bundi,94
627,Asind,92
628,Hurda,92
629,Shahpura,92
630,Banera,92
631,Mandal,92
632,Raipur,92
633,Sahara,92
634,Bhilwara,92
635,Kotri,92
636,Jahazpur,92
637,Mandalgarh,92
638,Bijoliya,92
639,Bhim,112
640,Deogarh,112
641,Amet,112
642,Kumbhalgarh,112
643,Rajsamand,112
644,Railmagra,112
645,Nathdwara,112
646,Dungarpur,99
647,Aspur,99
648,Sagwara,99
649,Simalwara,99
650,Ghatol,88
651,Garhi,88
652,Banswara,88
653,Bagidora,88
654,Kushalgarh,88
655,Rashmi,95
656,Gangrar,95
657,Begun,95
658,Rawatbhata,95
659,Chittaurgarh,95
660,Kapasan,95
661,Dungla,95
662,Bhadesar,95
663,Nimbahera,95
664,Bari Sadri,95
665,Pipalda,109
666,Digod,109
667,Ladpura,109
668,Ramganj Mandi,109
669,Sangod,109
670,Mangrol,89
671,Antah,89
672,Baran,89
