subdistrict,NAME_1,populatiuon,sewage_2055,Subdistric,,,,,,,
Bhadohi,Ananddeeh,5159,0.585028709,994,,,,,,,
Bhadohi,Temaj Sherpur,1499,0.170035959,994,,,,,,,
Bhadohi,Sari Bhausinghpur,3433,0.389345996,994,,,,,,,
Bhadohi,Manshahpur,452,0.051293508,994,,,,,,,
Bhadohi,Bihiyapur,2199,0.249399536,994,,,,,,,
Bhadohi,Thathara,780,0.08845101,994,,,,,,,
Bhadohi,Pure Dawan,1364,0.154688295,994,,,,,,,
Bhadohi,Chakbansi Dhar,721,0.081786892,994,,,,,,,
Bhadohi,Pure Daya,162,0.018376808,994,,,,,,,
Bhadohi,Kaundar,3567,0.404491717,994,,,,,,,
Bhadohi,Lalikapura,3220,0.365112843,994,,,,,,,
Bhadohi,Nibi,1685,0.191038025,994,,,,,,,
Bhadohi,Sarai Hola,2185,0.247783992,994,,,,,,,
Bhadohi,Chhatari Ka Pura 85 Singhpur,3107,0.352390437,994,,,,,,,
Bhadohi,Kowapur,650,0.073709174,994,,,,,,,
Bhadohi,Kanspur,887,0.100567586,994,,,,,,,
Bhadohi,Baghi,1341,0.152063037,994,,,,,,,
Bhadohi,Bahariya,427,0.048466307,994,,,,,,,
Bhadohi,Manapur Or Malepur,3188,0.361477869,994,,,,,,,
Bhadohi,Kapuripur,1501,0.170237902,994,,,,,,,
Bhadohi,Milkipur Z.Nibi,1369,0.155294124,994,,,,,,,
Bhadohi,Shripur Z.Garaura,2265,0.256871425,994,,,,,,,
Bhadohi,Ekauni,3578,0.405703375,994,,,,,,,
Bhadohi,Abholi,5138,0.582605393,994,,,,,,,
Bhadohi,Singhpur,1859,0.210828433,994,,,,,,,
Bhadohi,Gadaura,5253,0.595731685,994,,,,,,,
Bhadohi,Malepur,851,0.096528727,994,,,,,,,
Bhadohi,Puresanath,2322,0.263333599,994,,,,,,,
Bhadohi,Bhat,1857,0.21062649,994,,,,,,,
Bhadohi,Chaurapur Madan,1425,0.161554355,994,,,,,,,
Bhadohi,Chhapariya,340,0.038571102,994,,,,,,,
Bhadohi,Jhigatepur,1227,0.139138689,994,,,,,,,
Bhadohi,Kariyaon,967,0.109655019,994,,,,,,,
Bhadohi,Bhatewra,3097,0.35117878,994,,,,,,,
Bhadohi,Umari,2589,0.293625041,994,,,,,,,
Bhadohi,Tulsipur Z.Kariyaon,440,0.049879907,994,,,,,,,
Bhadohi,Kusura,5629,0.638341646,994,,,,,,,
Bhadohi,Mahuapur,4623,0.524243882,994,,,,,,,
Bhadohi,Harjupur,372,0.042206076,994,,,,,,,
Bhadohi,Ramayanpur,798,0.090470439,994,,,,,,,
Bhadohi,Jagetipur,1031,0.116924964,994,,,,,,,
Bhadohi,Chakia Urf Udai Ka Pura,670,0.075930547,994,,,,,,,
Bhadohi,Chak Khushal Z. Baraicha,107,0.012116577,994,,,,,,,
Bhadohi,Adiyapur,175,0.019790408,994,,,,,,,
Bhadohi,Birbhadapur,768,0.087037409,994,,,,,,,
Bhadohi,Kanakpur,673,0.076334433,994,,,,,,,
Bhadohi,Chak Bhainsahia,109,0.012318519,994,,,,,,,
Bhadohi,Kasturi Pur,2892,0.327955341,994,,,,,,,
Bhadohi,Gowali,3417,0.38752851,994,,,,,,,
Bhadohi,Chakdukharan,1161,0.1316668,994,,,,,,,
Bhadohi,Khemapur,841,0.09531707,994,,,,,,,
Bhadohi,Kokal Mau,1804,0.204568202,994,,,,,,,
Bhadohi,Chak Kahuwa,308,0.034936129,994,,,,,,,
Bhadohi,Kharagpur,2062,0.233849929,994,,,,,,,
Bhadohi,Chak Kesri,0,0,994,,,,,,,
Bhadohi,Chak Gelha,0,0,994,,,,,,,
Bhadohi,Chaksar Batia,0,0,994,,,,,,,
Bhadohi,Chakhari,0,0,994,,,,,,,
Bhadohi,Koitara Or Koilarasani,0,0,994,,,,,,,
Bhadohi,Serwa,1678,0.190230253,994,,,,,,,
Bhadohi,Kolhua Pande Pur,2488,0.282114293,994,,,,,,,
Bhadohi,Tulsi Chand,2206,0.250207307,994,,,,,,,
Bhadohi,Deodaspur,700,0.079363577,994,,,,,,,
Bhadohi,Jagdishpur Brahmnal,810,0.091884039,994,,,,,,,
Bhadohi,Kharagsen Patti,4582,0.519599195,994,,,,,,,
Bhadohi,Barmohani,4951,0.561401384,994,,,,,,,
Bhadohi,Duhiya,1562,0.177103962,994,,,,,,,
Bhadohi,Gokul Patti,1061,0.120357995,994,,,,,,,
Bhadohi,Chak Chandra,1364,0.154688295,994,,,,,,,
Bhadohi,Chak Gosai,132,0.014943778,994,,,,,,,
Bhadohi,Lal Murli Chak,518,0.058765397,994,,,,,,,
Bhadohi,Bisunpur,2148,0.243543191,994,,,,,,,
Bhadohi,Bahraichi,2028,0.230013013,994,,,,,,,
Bhadohi,Chak Baijnath,41,0.004644688,994,,,,,,,
Bhadohi,Badlikapura Or Badlipur,1761,0.199721572,994,,,,,,,
Bhadohi,Sawalpur,841,0.09531707,994,,,,,,,
Bhadohi,Asti,2016,0.228599413,994,,,,,,,
Bhadohi,Sanath Patti,841,0.09531707,994,,,,,,,
Bhadohi,Makanpur,3378,0.383085765,994,,,,,,,
Bhadohi,Bankat Z. Hari Patti,2103,0.238494617,994,,,,,,,
Bhadohi,Mahjuda,4529,0.513540906,994,,,,,,,
Bhadohi,Pure Kisun Singh,1359,0.154082466,994,,,,,,,
Bhadohi,Sarai Chatarshah,2600,0.294836698,994,,,,,,,
Bhadohi,Lagan Bari,1685,0.191038025,994,,,,,,,
Bhadohi,Chak Serwan,397,0.045033276,994,,,,,,,
Bhadohi,Baharaicha,912,0.103394788,994,,,,,,,
Bhadohi,Bankat Z.Pipari,363,0.04119636,994,,,,,,,
Bhadohi,Yakubpur,4181,0.474162032,994,,,,,,,
